B;n;freq
5;74;0,0738
51;;0,0738
52;;0,0738
7;123;0,1227
8;103;0,1025
12;122;0,1217
44;;0,1217
45;;0,1217
13;32;0,0322
14;24;0,0236
64;;0,0236
65;;0,0236
15;76;0,0758
62;;0,0758
63;;0,0758
75;;0,0758
76;;0,0758
77;;0,0758
70;2;0,0023
16;45;0,0454
38;;0,0454
39;;0,0454
17;45;0,0453
57;;0,0453
58;;0,0453
18;54;0,054
21;23;0,0232
49;;0,0232
50;;0,0232
22;25;0,0252
54;;0,0252
55;;0,0252
56;;0,0252
27;48;0,0483
35;103;0,1027
37;14;0,014
40;68;0,0684
60;;0,0684
61;;0,0684
41;11;0,0111
42;0;0,0004
46;0;0,0002
47;3;0,0034
48;1;0,0008
53;3;0,0027
59;0;0,0001
67;0;0,0002
73;0;0,0002
703;0;0,0001
70;;0,0001
71;;0,0001
72;;0,0001
78;0;0,0002
81;0;0,0001
2708;0;0,0001
82;0;0,0001
83;0;0,0001
